code,icao,name,city_code,country,city,state,county
CND,LRCK,Kogalniceanu Airport,CND,RO,Mihail Kogalniceanu,Constanta,Comuna Mihail Kogalniceanu
CNE,1V6,Canon City,CNE,US,Canon City,Colorado,Fremont County
CNF,SBCF,Tancredo Neves International Airport,BHZ,BR,Lagoa Santa,Minas Gerais,Lagoa Santa
CNG,LFBG,Parvaud,CNG,FR,Chateaubernard,Poitou-Charentes,Departement de la Charente
CNH,KCNH,Municipal,CNH,US,Claremont,New Hampshire,Sullivan County
CNI,ZYCH,Changhai,CNI,CN,Changning,Shanghai Shi,
CNJ,YCCY,Cloncurry Airport,CNJ,AU,,,
CNK,KCNK,Blosser Municipal,CNK,US,Concordia,Kansas,Cloud County
CNL,EKSN,Sindal,CNL,DK,Sindal,North Denmark,Hjorring Kommune
CNM,KCNM,Cavern City Air Terminal,CNM,US,Carlsbad,New Mexico,Eddy County
CNN,VOKN,Kannur International Airport,CNN,IN,Mattanur,Kerala,Kannur
CNO,KCNO,Chino,CNO,US,Chino,California,San Bernardino County
CNP,BGCO,Neerlerit Inaat Airport,CNP,GL,,,
CNQ,SARC,Camba Punta Airport,CNQ,AR,Corrientes,Corrientes,
CNR,SCRA,Chanaral,CNR,CL,,,
CNS,YBCS,Cairns Airport,CNS,AU,Cairns,Queensland,Cairns
CNT,,Charata,CNT,AR,Charata,Chaco,
CNU,KCNU,Martin Johnson,CNU,US,Chanute,Kansas,Neosho County
CNV,SNED,Canavieiras,CNV,BR,Canavieiras,Bahia,Canavieiras
CNW,KCNW,TSTC Waco Airport,ACT,US,Hillsboro,Texas,Hill County
CNX,VTCC,Chiang Mai International Airport,CNX,TH,Chiang Mai,Chiang Mai,
CNY,KCNY,Canyonlands Field,CNY,US,Moab,Utah,Grand County
CNZ,,Cangamba,CNZ,AO,Luena,Moxico,
COA,O22,Columbia,COA,US,Columbia,California,Tuolumne County
COB,,Coolibah,COB,AU,,,
COC,SAAC,Concordia,COC,AR,Salto,Salto,
COD,KCOD,Yellowstone Regional Airport,COD,US,Cody,Wyoming,Park County
COE,KCOE,Coeur D'Alene,COE,US,Coeur d'Alene,Idaho,Kootenai County
COF,KCOF,Patrick AFB,COI,US,Rockledge,Florida,Brevard County
COG,SKCD,Mandinga,COG,CO,Condoto,Choco,
COH,VECO,Cooch Behar,COH,IN,Koch Bihar,West Bengal,Koch Bihar
COI,KCOI,Merritt Island,COI,US,Cocoa Beach,Florida,Brevard County
COJ,YCBB,Coonabarabran,COJ,AU,Coonabarabran,New South Wales,Warrumbungle Shire
COK,VOCI,Cochin International Airport,COK,IN,Angamali,Kerala,Ernakulam
COL,EGEL,Isle Of Coll,COL,GB,,,
COM,KCOM,Coleman,COM,US,Coleman,Texas,Coleman County
CON,KCON,Concord,CON,US,Concord,New Hampshire,Merrimack County
COO,DBBB,Cotonou Airport,COO,BJ,Cotonou,Littoral,
